	Value	Error
Offset	-0.0772938523678182	0.022752877435138874
Gaussian 1: Amplitude	3.595230725710345	0.03094869836142543
Gaussian 1: Mean	2.2691690558900985	0.01899242078098728
Gaussian 1: SDV	0.9068392904032868	0.02300011567840688
Gaussian 2: Amplitude	4.706410654917644	0.06424801053148596
Gaussian 2: Mean	4.084808876794162	0.009021916830630368
Gaussian 2: SDV	0.5758086473612428	0.012270703275318791
Gaussian 3: Amplitude	4.160987094592121	0.02335425116771566
Gaussian 3: Mean	6.2273155374712585	0.011812869224708365
Gaussian 3: SDV	0.7953081018505247	0.01312626315914622
Gaussian 4: Amplitude	3.5066752403221253	0.06799139907418413
Gaussian 4: Mean	9.49328628551775	0.013550914313190532
Gaussian 4: SDV	0.26214618150677815	0.014263219520154668
